id,state,location,mobile_orders,Catering,Pickup,Delivery,WiFi,Playground,breakfast_served,drive_thru,sandwich_price
719,ga,Chastain Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
720,ga,Cherokee Place,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
721,ga,Children's Hospital of Georgia OCV,No,No,No,No,No,No,No,No,
722,ga,Clayton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
723,ga,Cleveland (GA),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
724,ga,Cleveland Avenue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
725,ga,CNN Center,Yes,Yes,Yes,No,No,No,Yes,No,5.09
726,ga,College Football Hall of Fame,Yes,No,No,No,Yes,No,Yes,No,5.09
727,ga,Colony Square,Yes,Yes,Yes,No,Yes,No,Yes,No,5.25
728,ga,Columbus Park Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
729,ga,Columbus State University,No,No,No,No,Yes,No,No,No,
730,ga,Commerce,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
731,ga,Commerce Avenue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
732,ga,Conyers,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.75
733,ga,Cordele,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
734,ga,Cornelia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
735,ga,Covington (GA),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
736,ga,Coweta Crossroads,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
737,ga,Cumberland Mall,Yes,Yes,Yes,No,No,No,Yes,No,5.19
738,ga,Dacula,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
739,ga,Dahlonega,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
740,ga,Dallas (GA),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
741,ga,Dalton,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
742,ga,Dalton Mall,Yes,Yes,Yes,Yes,No,No,Yes,No,5.09
743,ga,Dawsonville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
744,ga,Delta Air Lines Headquarters,No,No,No,No,No,No,Yes,No,
745,ga,Doraville Plaza,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
746,ga,Douglas [GA],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
747,ga,Douglasville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
